Rk,G,Date,Age,Tm,Where,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/30/2013,25-230,GSW,,LAL,W (+31),1,23:57,4,10,0.4,2,5,0.4,0,0,,0,4,4,6,1,0,1,4,10,8.4,28
2,2,10/31/2013,25-231,GSW,@,LAC,L (-11),1,38:29:00,14,23,0.609,9,14,0.643,1,1,1,0,3,3,9,0,0,11,3,38,22.5,-8
3,3,11/2/2013,25-233,GSW,,SAC,W (+11),1,32:30:00,8,13,0.615,5,8,0.625,1,1,1,0,1,1,12,1,0,7,4,22,17.2,18
4,4,11/4/2013,25-235,GSW,@,PHI,W (+20),1,29:13:00,7,16,0.438,2,9,0.222,2,2,1,3,7,10,12,5,1,2,0,18,25.9,34
5,5,11/6/2013,25-237,GSW,@,MIN,W (+13),1,24:11:00,2,8,0.25,0,3,0,1,2,0.5,0,1,1,7,1,0,1,1,5,4.6,3
6,,11/8/2013,25-239,GSW,@,SAS,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,6,11/9/2013,25-240,GSW,@,MEM,L (-18),1,34:22:00,7,18,0.389,4,10,0.4,4,4,1,1,1,2,5,3,0,3,1,22,16.3,-9
8,7,11/12/2013,25-243,GSW,,DET,W (+18),1,29:00:00,7,10,0.7,2,4,0.5,9,9,1,1,1,2,8,1,0,2,4,25,24.8,20
9,8,11/14/2013,25-245,GSW,,OKC,W (+1),1,43:07:00,8,22,0.364,4,8,0.5,2,3,0.667,0,5,5,9,1,0,2,4,22,14.6,-4
10,9,11/16/2013,25-247,GSW,,UTA,W (+14),1,38:31:00,7,20,0.35,0,5,0,1,2,0.5,0,3,3,11,1,0,0,1,15,12.6,18
11,10,11/18/2013,25-249,GSW,@,UTA,W (+11),1,33:15:00,7,15,0.467,4,7,0.571,4,4,1,2,4,6,8,3,0,5,4,22,18.9,22
12,,11/20/2013,25-251,GSW,,MEM,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
13,,11/22/2013,25-253,GSW,@,LAL,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
14,11,11/23/2013,25-254,GSW,,POR,L (-12),1,37:10:00,8,21,0.381,2,9,0.222,4,5,0.8,0,3,3,11,1,0,5,1,22,14.3,-6
15,12,11/26/2013,25-257,GSW,@,NOP,W (+1),1,42:05:00,7,20,0.35,2,5,0.4,0,0,,1,7,8,9,3,1,2,2,16,14.8,-2
16,13,11/27/2013,25-258,GSW,@,DAL,L (-4),1,42:24:00,9,19,0.474,6,10,0.6,5,5,1,0,4,4,8,1,0,6,3,29,19.9,-3
17,14,11/29/2013,25-260,GSW,@,OKC,L (-1),1,44:42:00,13,26,0.5,4,10,0.4,2,3,0.667,2,9,11,5,0,0,3,4,32,21.6,7
18,15,12/1/2013,25-262,GSW,@,SAC,W (+2),1,40:10:00,14,24,0.583,5,8,0.625,3,3,1,0,2,2,10,3,1,7,1,36,28.7,1
19,16,12/3/2013,25-264,GSW,,TOR,W (+9),1,43:25:00,8,15,0.533,3,7,0.429,8,10,0.8,0,3,3,10,5,1,3,1,27,29.1,16
20,17,12/6/2013,25-267,GSW,@,HOU,L (-22),1,32:28:00,5,14,0.357,1,5,0.2,11,11,1,0,1,1,5,3,0,8,4,22,11.4,-12
21,18,12/7/2013,25-268,GSW,@,MEM,W (+26),1,45:21:00,7,16,0.438,2,7,0.286,6,7,0.857,1,5,6,15,0,1,1,4,22,24,21
22,19,12/9/2013,25-270,GSW,@,CHA,L (-4),1,45:40:00,14,32,0.438,5,16,0.313,10,12,0.833,1,5,6,9,0,2,4,4,43,29.7,3
23,20,12/11/2013,25-272,GSW,,DAL,W (+2),1,43:56:00,13,25,0.52,6,11,0.545,1,1,1,0,4,4,10,3,0,8,3,33,22.7,5
24,21,12/13/2013,25-274,GSW,,HOU,L (-4),1,39:07:00,5,12,0.417,1,5,0.2,9,11,0.818,0,2,2,9,0,0,6,6,20,11.3,-18
25,22,12/15/2013,25-276,GSW,@,PHO,L (-4),1,42:22:00,8,17,0.471,4,7,0.571,10,11,0.909,0,6,6,7,3,0,6,2,30,23.8,-4
26,23,12/17/2013,25-278,GSW,,NOP,W (+11),1,32:40:00,11,19,0.579,2,7,0.286,4,4,1,1,3,4,11,3,0,3,3,28,27.2,22
27,24,12/19/2013,25-280,GSW,,SAS,L (-2),1,40:22:00,12,28,0.429,6,16,0.375,0,0,,0,2,2,15,4,0,5,1,30,24.9,-5
28,25,12/21/2013,25-282,GSW,,LAL,W (+19),1,32:46:00,5,15,0.333,4,9,0.444,4,4,1,1,5,6,10,3,0,1,2,18,19.9,26
29,26,12/23/2013,25-284,GSW,@,DEN,W (+8),1,35:14:00,5,14,0.357,2,3,0.667,2,4,0.5,0,3,3,7,2,1,2,4,14,10.3,8
30,27,12/25/2013,25-286,GSW,,LAC,W (+2),1,42:29:00,5,17,0.294,2,6,0.333,3,3,1,1,5,6,11,1,0,2,1,15,13.6,8
31,28,12/27/2013,25-288,GSW,,PHO,W (+29),1,33:33:00,5,17,0.294,1,6,0.167,3,5,0.6,3,10,13,16,1,0,7,3,14,12.4,27
32,29,12/29/2013,25-290,GSW,@,CLE,W (+4),1,48:12:00,10,23,0.435,5,10,0.5,4,5,0.8,0,9,9,11,2,1,5,3,29,23.4,2
33,30,12/31/2013,25-292,GSW,@,ORL,W (+13),1,29:35:00,4,10,0.4,1,5,0.2,0,0,,0,5,5,8,0,0,6,1,9,4.3,21
34,31,1/2/2014,25-294,GSW,@,MIA,W (+9),1,43:43:00,13,22,0.591,8,15,0.533,2,3,0.667,0,2,2,12,2,0,4,4,36,30.8,16
35,32,1/3/2014,25-295,GSW,@,ATL,W (+1),1,34:39:00,7,15,0.467,1,7,0.143,7,8,0.875,0,8,8,9,5,0,9,5,22,16.6,12
36,33,1/5/2014,25-297,GSW,@,WAS,W (+16),1,37:38:00,5,17,0.294,1,5,0.2,3,3,1,1,2,3,10,1,1,2,5,14,10.1,35
37,34,1/7/2014,25-299,GSW,@,MIL,W (+21),1,36:14:00,5,18,0.278,2,11,0.182,3,4,0.75,0,0,0,6,1,0,7,2,15,1.4,11
38,35,1/8/2014,25-300,GSW,@,BRK,L (-4),1,45:28:00,11,25,0.44,2,10,0.2,10,10,1,0,5,5,7,3,0,7,5,34,21.3,1
39,36,1/10/2014,25-302,GSW,,BOS,W (+2),1,40:08:00,7,18,0.389,3,8,0.375,2,3,0.667,1,6,7,4,1,0,4,1,19,10.7,5
40,37,1/15/2014,25-307,GSW,,DEN,L (-7),1,39:41:00,7,19,0.368,4,13,0.308,6,7,0.857,0,5,5,7,0,0,2,4,24,15.9,4
41,38,1/17/2014,25-309,GSW,@,OKC,L (-6),1,37:57:00,11,18,0.611,6,10,0.6,9,11,0.818,2,1,3,11,3,0,7,2,37,32.6,-10
42,39,1/18/2014,25-310,GSW,@,NOP,W (+10),1,37:49:00,10,22,0.455,2,9,0.222,6,6,1,1,5,6,8,4,0,0,2,28,27.6,15
43,40,1/20/2014,25-312,GSW,,IND,L (-8),1,41:28:00,9,20,0.45,3,11,0.273,3,4,0.75,0,3,3,9,0,0,2,2,24,17.6,-4
44,41,1/24/2014,25-316,GSW,,MIN,L (-1),1,36:53:00,12,21,0.571,6,10,0.6,3,3,1,1,2,3,15,1,0,5,3,33,29.7,-3
45,42,1/26/2014,25-318,GSW,,POR,W (+15),1,34:38:00,13,23,0.565,5,8,0.625,7,10,0.7,1,6,7,8,2,0,2,1,38,33.6,12
46,43,1/28/2014,25-320,GSW,,WAS,L (-3),1,37:43:00,8,23,0.348,2,7,0.286,5,6,0.833,0,2,2,4,4,0,6,5,23,9.1,-9
47,44,1/30/2014,25-322,GSW,,LAC,W (+19),1,33:41:00,8,10,0.8,4,4,1,2,2,1,0,4,4,7,1,1,3,3,22,21.8,23
48,45,1/31/2014,25-323,GSW,@,UTA,W (+5),1,38:06:00,14,26,0.538,8,13,0.615,8,9,0.889,0,2,2,4,0,0,2,0,44,32.4,15
49,46,2/4/2014,25-327,GSW,,CHA,L (-16),1,38:13:00,8,18,0.444,1,7,0.143,0,0,,1,2,3,11,0,0,2,2,17,13.8,-18
50,47,2/6/2014,25-329,GSW,,CHI,W (+15),1,42:45:00,13,19,0.684,4,6,0.667,4,4,1,0,3,3,9,1,0,2,3,34,30.9,12
51,48,2/8/2014,25-331,GSW,@,PHO,L (-13),1,41:09:00,10,20,0.5,3,10,0.3,5,6,0.833,1,1,2,9,0,0,2,2,28,22.1,-15
52,49,2/10/2014,25-333,GSW,,PHI,W (+43),1,27:17:00,7,11,0.636,6,9,0.667,3,3,1,2,3,5,8,1,0,7,3,23,18.8,34
53,50,2/12/2014,25-335,GSW,,MIA,L (-1),1,39:13:00,8,14,0.571,4,4,1,9,9,1,1,4,5,7,1,0,5,3,29,24,4
54,51,2/19/2014,25-342,GSW,@,SAC,W (+9),1,35:51:00,5,14,0.357,1,4,0.25,2,3,0.667,0,1,1,8,1,0,0,2,13,10.9,12
55,52,2/20/2014,25-343,GSW,,HOU,W (+3),1,38:26:00,8,15,0.533,5,8,0.625,4,4,1,0,2,2,6,2,0,2,5,25,20.5,13
56,53,2/22/2014,25-345,GSW,,BRK,W (+7),1,31:58:00,7,13,0.538,3,4,0.75,0,0,,0,5,5,8,2,0,2,2,17,17,11
57,54,2/24/2014,25-347,GSW,@,DET,W (+8),1,35:44:00,6,15,0.4,3,9,0.333,4,5,0.8,3,5,8,9,0,0,4,0,19,16.4,-2
58,55,2/26/2014,25-349,GSW,@,CHI,L (-20),1,28:19:00,2,10,0.2,1,5,0.2,0,0,,0,3,3,5,0,0,5,0,5,-1.8,-12
59,56,2/28/2014,25-351,GSW,@,NYK,W (+23),1,30:18:00,9,19,0.474,5,11,0.455,4,4,1,2,9,11,11,0,1,4,2,27,25,19
60,57,3/2/2014,25-353,GSW,@,TOR,L (-6),1,43:12:00,13,27,0.481,4,11,0.364,4,6,0.667,1,3,4,7,1,0,6,3,34,19.8,-1
61,58,3/4/2014,25-355,GSW,@,IND,W (+2),1,31:59:00,7,18,0.389,2,5,0.4,3,3,1,1,7,8,6,2,0,4,5,19,12.2,-7
62,59,3/5/2014,25-356,GSW,@,BOS,W (+20),1,21:51,6,10,0.6,1,4,0.25,1,1,1,0,3,3,4,1,0,0,3,14,12.9,28
63,60,3/7/2014,25-358,GSW,,ATL,W (+14),1,30:02:00,5,10,0.5,1,4,0.25,2,2,1,0,3,3,7,1,0,0,1,13,14.4,9
64,61,3/9/2014,25-360,GSW,,PHO,W (+6),1,30:16:00,7,16,0.438,1,5,0.2,3,3,1,0,2,2,9,0,0,1,1,18,15.1,11
65,62,3/11/2014,25-362,GSW,,DAL,W (+23),1,22:17,4,12,0.333,1,5,0.2,1,1,1,0,2,2,4,3,0,3,1,10,6.2,-3
66,63,3/12/2014,25-363,GSW,@,LAC,L (-13),1,29:18:00,5,11,0.455,2,5,0.4,1,1,1,1,4,5,11,1,0,4,3,13,12.7,3
67,64,3/14/2014,26-000,GSW,,CLE,L (-9),1,36:01:00,8,17,0.471,5,10,0.5,6,7,0.857,0,4,4,8,3,0,4,1,27,23.3,3
68,65,3/16/2014,26-002,GSW,@,POR,W (+1),1,40:08:00,11,24,0.458,6,12,0.5,9,9,1,0,4,4,5,1,0,5,4,37,23.7,-5
69,66,3/18/2014,26-004,GSW,,ORL,W (+14),1,31:46:00,9,13,0.692,3,6,0.5,2,2,1,1,2,3,5,0,0,3,1,23,18.9,21
70,67,3/20/2014,26-006,GSW,,MIL,W (+5),1,38:04:00,9,14,0.643,3,5,0.6,10,10,1,1,2,3,10,1,0,4,2,31,29.3,13
71,68,3/22/2014,26-008,GSW,,SAS,L (-9),1,39:25:00,5,13,0.385,1,4,0.25,9,9,1,0,6,6,6,1,0,6,0,20,13.9,-7
72,69,3/28/2014,26-014,GSW,,MEM,W (+7),1,38:03:00,13,22,0.591,5,8,0.625,2,3,0.667,1,4,5,8,1,2,3,1,33,28.9,9
73,70,3/30/2014,26-016,GSW,,NYK,L (-5),1,40:46:00,10,21,0.476,6,12,0.5,6,8,0.75,1,3,4,1,1,0,2,2,32,21,5
74,71,4/1/2014,26-018,GSW,@,DAL,W (+2),1,43:07:00,10,17,0.588,3,8,0.375,0,0,,1,2,3,10,2,0,1,2,23,23.6,8
75,72,4/2/2014,26-019,GSW,@,SAS,L (-21),1,30:43:00,5,15,0.333,1,4,0.25,0,0,,0,0,0,10,1,0,4,2,11,5.7,-19
76,73,4/4/2014,26-021,GSW,,SAC,W (+33),1,28:33:00,5,12,0.417,2,5,0.4,1,1,1,1,1,2,5,1,0,1,2,13,10.3,28
77,74,4/6/2014,26-023,GSW,,UTA,W (+28),1,29:28:00,12,18,0.667,5,10,0.5,2,2,1,0,1,1,16,3,0,5,2,31,31.9,31
78,75,4/10/2014,26-027,GSW,,DEN,L (-1),1,33:32:00,8,19,0.421,2,7,0.286,6,6,1,0,7,7,6,4,0,2,1,24,21.8,-3
79,76,4/11/2014,26-028,GSW,@,LAL,W (+17),1,34:43:00,12,20,0.6,4,5,0.8,2,2,1,0,10,10,12,2,0,6,3,30,27,13
80,77,4/13/2014,26-030,GSW,@,POR,L (-2),1,45:26:00,16,29,0.552,7,14,0.5,8,8,1,1,0,1,5,4,0,4,3,47,36.1,6
81,78,4/14/2014,26-031,GSW,,MIN,W (+10),1,41:57:00,10,21,0.476,7,13,0.538,5,5,1,1,4,5,15,3,0,5,4,32,30.1,10
82,,4/16/2014,26-033,GSW,@,DEN,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
